Model	Scenario	Unit	2020	2030	2040	2050
REMIND 1.4	ROSE 450 DEF	US$2005/t CO2	35.380	62.010	104.270	174.290
REMIND 1.4	ROSE 450 FS Gr	US$2005/t CO2	35.150	63.470	111.340	195.300
REMIND 1.4	ROSE 450 FS Gr SL Con	US$2005/t CO2	32.980	56.630	95.090	161.470
REMIND 1.4	ROSE 450 HI Coal	US$2005/t CO2	33.580	58.620	98.240	163.780
REMIND 1.4	ROSE 450 HI Fos	US$2005/t CO2	39.390	69.300	116.830	195.970
REMIND 1.4	ROSE 450 HI Pop	US$2005/t CO2	42.800	67.950	105.540	162.730
REMIND 1.4	ROSE 450 LO Fos	US$2005/t CO2	31.490	55.250	92.590	153.970
REMIND 1.4	ROSE 450 LO Oil	US$2005/t CO2	35.060	61.390	103.180	172.400
REMIND 1.4	ROSE 450 SL Gr	US$2005/t CO2	35.620	60.600	97.600	154.600
REMIND 1.5	AMPERE2-450-Conv-HST	US$2005/t CO2	8.020	13.065	23230.637	40750.486
REMIND 1.5	AMPERE2-450-Conv-LST	US$2005/t CO2	18.711	30.478	1027.889	1728.493
REMIND 1.5	AMPERE2-450-Conv-OPT	US$2005/t CO2	74.824	135.165	238.407	411.594
REMIND 1.5	AMPERE2-450-EERE-OPT	US$2005/t CO2	60.973	114.102	205.155	360.931
REMIND 1.5	AMPERE2-450-FullTech-HST	US$2005/t CO2	7.614	12.402	137.954	233.064
REMIND 1.5	AMPERE2-450-FullTech-LST	US$2005/t CO2	17.239	28.080	109.925	187.582
REMIND 1.5	AMPERE2-450-FullTech-OPT	US$2005/t CO2	26.623	48.682	85.784	147.653
REMIND 1.5	AMPERE2-450-LimBio-HST	US$2005/t CO2	7.448	12.132	11025.173	18958.783
REMIND 1.5	AMPERE2-450-LimBio-LST	US$2005/t CO2	17.673	28.787	559.181	944.293
REMIND 1.5	AMPERE2-450-LimBio-OPT	US$2005/t CO2	55.740	100.983	177.981	307.933
REMIND 1.5	AMPERE2-450-LimSW-HST	US$2005/t CO2	8.141	13.260	207.102	349.797
REMIND 1.5	AMPERE2-450-LimSW-LST	US$2005/t CO2	18.535	30.191	167.653	285.148
REMIND 1.5	AMPERE2-450-LimSW-OPT	US$2005/t CO2	37.905	69.115	121.635	209.316
REMIND 1.5	AMPERE2-450-LowEI-HST	US$2005/t CO2	1.255	2.044	89.795	156.215
REMIND 1.5	AMPERE2-450-LowEI-LST	US$2005/t CO2	9.646	15.712	70.512	123.595
REMIND 1.5	AMPERE2-450-LowEI-OPT	US$2005/t CO2	16.318	30.750	55.667	98.065
REMIND 1.5	AMPERE2-450-NoCCS-OPT	US$2005/t CO2	80.690	145.769	255.679	440.821
